state,climate_zone,activity_type,land_size_hectares,project_age_years,avg_rainfall_mm,forest_cover_pct,soil_organic_carbon,estimated_carbon_credits_tco2e
Kerala,Tropical Wet,Afforestation,371.57,5,3000,52.3,High,4181.74
Telangana,Tropical Dry,Reforestation,152.05,5,950,24.0,Low,476.17
Bihar,Humid Subtropical,Afforestation,177.52,5,1100,7.7,Medium,685.83
Uttar Pradesh,Humid Subtropical,Afforestation,242.35,10,1000,6.1,Medium,1204.05
Chhattisgarh,Humid Subtropical,Afforestation,242.0,1,1400,41.1,Medium,729.21
Chhattisgarh,Humid Subtropical,Reforestation,380.42,4,1400,41.1,Medium,2132.92
Goa,Tropical Wet,Regenerative Agriculture,9.51,3,2900,60.0,High,33.47
Mizoram,Tropical Wet,Afforestation,89.84,8,2500,84.5,High,1273.21
Uttarakhand,Subtropical,Regenerative Agriculture,283.55,4,1800,45.4,High,595.17
Haryana,Humid Subtropical,Afforestation,234.54,3,600,3.6,Low,486.05
Andhra Pradesh,Tropical Dry,Afforestation,316.71,1,900,23.0,Low,449.56
Sikkim,Subtropical,Reforestation,137.81,10,2700,47.3,High,2802.09
Tamil Nadu,Tropical Dry,Reforestation,146.14,3,1000,17.4,Medium,436.69
Madhya Pradesh,Humid Subtropical,Reforestation,257.14,8,1200,25.1,Medium,1551.44
Assam,Tropical Wet,Afforestation,403.71,9,2700,34.2,Medium,5157.83
Odisha,Humid Subtropical,Regenerative Agriculture,297.2,4,1500,33.2,Medium,457.7
Arunachal Pradesh,Subtropical,Afforestation,390.44,8,2800,79.3,High,4957.89
Telangana,Tropical Dry,Afforestation,343.12,7,950,24.0,Low,938.0
Jharkhand,Humid Subtropical,Regenerative Agriculture,35.42,1,1300,29.6,Medium,32.3
Jharkhand,Humid Subtropical,Reforestation,129.59,3,1300,29.6,Medium,619.36
Sikkim,Subtropical,Afforestation,453.64,9,2700,47.3,High,6179.48
Uttar Pradesh,Humid Subtropical,Regenerative Agriculture,150.44,5,1000,6.1,Medium,161.54
Mizoram,Tropical Wet,Regenerative Agriculture,182.72,4,2500,84.5,High,681.86
Punjab,Humid Subtropical,Afforestation,65.6,5,700,3.6,Medium,190.29
Tamil Nadu,Tropical Dry,Reforestation,37.16,10,1000,17.4,Medium,200.8
Andhra Pradesh,Tropical Dry,Regenerative Agriculture,39.53,9,900,23.0,Low,39.63
Tamil Nadu,Tropical Dry,Reforestation,253.01,6,1000,17.4,Medium,1016.94
Tamil Nadu,Tropical Dry,Afforestation,412.71,10,1000,17.4,Medium,1625.74
Goa,Tropical Wet,Afforestation,261.53,6,2900,60.0,High,3443.34
Tripura,Tropical Wet,Afforestation,300.03,4,2200,73.7,Medium,2331.76
Nagaland,Tropical Wet,Regenerative Agriculture,147.09,6,2000,73.9,High,488.54
Manipur,Subtropical,Regenerative Agriculture,133.16,2,1500,74.3,Medium,178.85
Haryana,Humid Subtropical,Reforestation,36.68,8,600,3.6,Low,127.97
Kerala,Tropical Wet,Regenerative Agriculture,177.09,9,3000,52.3,High,951.36
Haryana,Humid Subtropical,Afforestation,50.62,1,600,3.6,Low,80.65
Mizoram,Tropical Wet,Regenerative Agriculture,210.15,9,2500,84.5,High,1113.54
Arunachal Pradesh,Subtropical,Regenerative Agriculture,190.67,1,2800,79.3,High,456.45
Uttarakhand,Subtropical,Regenerative Agriculture,18.41,10,1800,45.4,High,67.5
Uttarakhand,Subtropical,Reforestation,190.43,5,1800,45.4,High,1864.02
Chhattisgarh,Humid Subtropical,Reforestation,103.32,5,1400,41.1,Medium,631.63
Karnataka,Tropical Dry,Regenerative Agriculture,210.96,1,1300,20.1,Medium,173.19
Rajasthan,Arid,Afforestation,75.26,3,500,4.8,Very Low,53.52
Nagaland,Tropical Wet,Reforestation,175.41,5,2000,73.9,High,2192.8
Odisha,Humid Subtropical,Reforestation,348.43,5,1500,33.2,Medium,2451.8
Punjab,Humid Subtropical,Afforestation,391.03,2,700,3.6,Medium,780.79
Bihar,Humid Subtropical,Regenerative Agriculture,253.43,1,1100,7.7,Medium,205.5
Goa,Tropical Wet,Afforestation,213.26,1,2900,60.0,High,1659.47
Mizoram,Tropical Wet,Reforestation,366.57,7,2500,84.5,High,7387.62
Mizoram,Tropical Wet,Afforestation,472.94,10,2500,84.5,High,7305.71
Karnataka,Tropical Dry,Reforestation,111.81,4,1300,20.1,Medium,479.03
Kerala,Tropical Wet,Afforestation,380.93,2,3000,52.3,High,3234.33
Chhattisgarh,Humid Subtropical,Reforestation,215.32,6,1400,41.1,Medium,1442.08
Meghalaya,Tropical Wet,Regenerative Agriculture,95.79,1,2800,76.3,High,274.21
West Bengal,Humid Subtropical,Afforestation,299.08,7,1750,18.9,Medium,1987.82
Himachal Pradesh,Subtropical,Afforestation,313.95,2,1600,27.1,Medium,1261.44
Arunachal Pradesh,Subtropical,Reforestation,260.11,3,2800,79.3,High,3130.63
Goa,Tropical Wet,Afforestation,261.85,8,2900,60.0,High,3827.89
Tamil Nadu,Tropical Dry,Regenerative Agriculture,210.8,4,1000,17.4,Medium,191.91
Tamil Nadu,Tropical Dry,Afforestation,251.14,4,1000,17.4,Medium,650.32
Madhya Pradesh,Humid Subtropical,Reforestation,141.57,3,1200,25.1,Medium,568.47
Himachal Pradesh,Subtropical,Afforestation,235.46,6,1600,27.1,Medium,1336.88
Assam,Tropical Wet,Afforestation,449.43,3,2700,34.2,Medium,3859.19
West Bengal,Humid Subtropical,Afforestation,486.82,10,1750,18.9,Medium,3817.83
Arunachal Pradesh,Subtropical,Reforestation,83.15,5,2800,79.3,High,1186.9
Nagaland,Tropical Wet,Afforestation,271.87,10,2000,73.9,High,3373.65
Chhattisgarh,Humid Subtropical,Afforestation,245.76,6,1400,41.1,Medium,1110.51
Himachal Pradesh,Subtropical,Reforestation,75.44,1,1600,27.1,Medium,358.72
Sikkim,Subtropical,Regenerative Agriculture,59.43,8,2700,47.3,High,257.83
Bihar,Humid Subtropical,Reforestation,253.03,7,1100,7.7,Medium,1388.45
Chhattisgarh,Humid Subtropical,Reforestation,71.88,3,1400,41.1,Medium,373.58
Tripura,Tropical Wet,Regenerative Agriculture,269.09,2,2200,73.7,Medium,630.94
Himachal Pradesh,Subtropical,Afforestation,371.33,10,1600,27.1,Medium,2641.62
Tripura,Tropical Wet,Afforestation,421.95,6,2200,73.7,Medium,3859.14
Sikkim,Subtropical,Afforestation,300.86,4,2700,47.3,High,2734.4
Tamil Nadu,Tropical Dry,Regenerative Agriculture,196.4,2,1000,17.4,Medium,143.31
Goa,Tropical Wet,Regenerative Agriculture,224.9,1,2900,60.0,High,590.63
Telangana,Tropical Dry,Regenerative Agriculture,116.74,5,950,24.0,Low,96.25
Goa,Tropical Wet,Regenerative Agriculture,110.05,6,2900,60.0,High,470.89
Mizoram,Tropical Wet,Afforestation,126.24,6,2500,84.5,High,1516.09
Uttarakhand,Subtropical,Reforestation,86.83,8,1800,45.4,High,1054.7
Punjab,Humid Subtropical,Afforestation,49.31,3,700,3.6,Medium,118.55
Himachal Pradesh,Subtropical,Reforestation,390.4,8,1600,27.1,Medium,3478.1
Nagaland,Tropical Wet,Regenerative Agriculture,247.15,2,2000,73.9,High,614.88
Manipur,Subtropical,Afforestation,387.05,6,1500,74.3,Medium,2220.85
Chhattisgarh,Humid Subtropical,Reforestation,288.72,4,1400,41.1,Medium,1563.09
Himachal Pradesh,Subtropical,Afforestation,309.2,6,1600,27.1,Medium,1807.36
Mizoram,Tropical Wet,Reforestation,74.43,4,2500,84.5,High,1136.54
Nagaland,Tropical Wet,Reforestation,189.89,5,2000,73.9,High,2346.87
Punjab,Humid Subtropical,Reforestation,396.13,8,700,3.6,Medium,1581.44
Mizoram,Tropical Wet,Afforestation,382.51,8,2500,84.5,High,5543.03
Nagaland,Tropical Wet,Regenerative Agriculture,239.32,1,2000,73.9,High,502.99
Arunachal Pradesh,Subtropical,Reforestation,374.18,9,2800,79.3,High,7428.86
Goa,Tropical Wet,Regenerative Agriculture,24.62,8,2900,60.0,High,129.16
Mizoram,Tropical Wet,Reforestation,322.82,3,2500,84.5,High,4417.13
Madhya Pradesh,Humid Subtropical,Afforestation,409.14,10,1200,25.1,Medium,2142.51
Tamil Nadu,Tropical Dry,Afforestation,344.66,8,1000,17.4,Medium,1235.34
Tripura,Tropical Wet,Reforestation,361.37,6,2200,73.7,Medium,4544.14
Kerala,Tropical Wet,Afforestation,184.13,7,3000,52.3,High,2642.67
Goa,Tropical Wet,Reforestation,40.65,8,2900,60.0,High,841.77
Nagaland,Tropical Wet,Regenerative Agriculture,190.17,8,2000,73.9,High,760.92
Tamil Nadu,Tropical Dry,Regenerative Agriculture,264.2,1,1000,17.4,Medium,175.07
Assam,Tropical Wet,Afforestation,84.32,1,2700,34.2,Medium,566.14
Mizoram,Tropical Wet,Regenerative Agriculture,224.46,4,2500,84.5,High,846.17
West Bengal,Humid Subtropical,Reforestation,146.7,6,1750,18.9,Medium,1140.37
Rajasthan,Arid,Regenerative Agriculture,116.75,8,500,4.8,Very Low,40.34
Maharashtra,Tropical Dry,Afforestation,248.32,4,1100,16.5,Medium,751.82
Telangana,Tropical Dry,Afforestation,362.82,3,950,24.0,Low,688.13
Andhra Pradesh,Tropical Dry,Regenerative Agriculture,106.98,10,900,23.0,Low,121.03
Maharashtra,Tropical Dry,Reforestation,102.53,7,1100,16.5,Medium,495.06
Telangana,Tropical Dry,Reforestation,240.7,2,950,24.0,Low,529.73
Jharkhand,Humid Subtropical,Afforestation,18.87,4,1300,29.6,Medium,67.84
Karnataka,Tropical Dry,Reforestation,44.77,8,1300,20.1,Medium,279.38
Karnataka,Tropical Dry,Reforestation,365.61,1,1300,20.1,Medium,1235.27
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,21.15,9,1200,25.1,Medium,37.33
Tamil Nadu,Tropical Dry,Afforestation,12.27,9,1000,17.4,Medium,45.84
Chhattisgarh,Humid Subtropical,Regenerative Agriculture,277.27,7,1400,41.1,Medium,476.26
Arunachal Pradesh,Subtropical,Regenerative Agriculture,222.56,1,2800,79.3,High,507.43
West Bengal,Humid Subtropical,Regenerative Agriculture,78.23,9,1750,18.9,Medium,198.66
Tripura,Tropical Wet,Reforestation,28.04,1,2200,73.7,Medium,236.89
Bihar,Humid Subtropical,Reforestation,20.04,5,1100,7.7,Medium,84.19
Sikkim,Subtropical,Regenerative Agriculture,292.78,9,2700,47.3,High,1371.32
Haryana,Humid Subtropical,Regenerative Agriculture,299.08,1,600,3.6,Low,139.29
Tripura,Tropical Wet,Afforestation,161.87,7,2200,73.7,Medium,1701.48
Sikkim,Subtropical,Afforestation,195.09,8,2700,47.3,High,2439.52
Manipur,Subtropical,Reforestation,128.21,3,1500,74.3,Medium,805.17
Haryana,Humid Subtropical,Afforestation,206.37,6,600,3.6,Low,496.61
Manipur,Subtropical,Regenerative Agriculture,35.38,8,1500,74.3,Medium,75.14
Gujarat,Arid,Reforestation,172.36,7,800,7.6,Low,246.4
Punjab,Humid Subtropical,Reforestation,348.79,8,700,3.6,Medium,1448.75
Maharashtra,Tropical Dry,Reforestation,145.62,5,1100,16.5,Medium,568.73
Meghalaya,Tropical Wet,Regenerative Agriculture,197.56,8,2800,76.3,High,1011.5
Gujarat,Arid,Reforestation,334.63,4,800,7.6,Low,377.99
Uttar Pradesh,Humid Subtropical,Afforestation,79.13,7,1000,6.1,Medium,311.88
Goa,Tropical Wet,Afforestation,410.55,4,2900,60.0,High,4632.4
Andhra Pradesh,Tropical Dry,Reforestation,332.67,3,900,23.0,Low,738.73
Mizoram,Tropical Wet,Afforestation,210.61,9,2500,84.5,High,3245.35
Goa,Tropical Wet,Afforestation,154.29,4,2900,60.0,High,1661.63
West Bengal,Humid Subtropical,Reforestation,196.36,1,1750,18.9,Medium,886.13
Arunachal Pradesh,Subtropical,Regenerative Agriculture,156.18,9,2800,79.3,High,785.11
Tripura,Tropical Wet,Afforestation,78.28,4,2200,73.7,Medium,629.71
Chhattisgarh,Humid Subtropical,Reforestation,361.72,2,1400,41.1,Medium,1591.04
Sikkim,Subtropical,Afforestation,329.2,10,2700,47.3,High,4802.84
Telangana,Tropical Dry,Regenerative Agriculture,36.44,6,950,24.0,Low,31.55
Telangana,Tropical Dry,Afforestation,335.87,7,950,24.0,Low,915.81
Tamil Nadu,Tropical Dry,Afforestation,420.67,5,1000,17.4,Medium,1191.44
Goa,Tropical Wet,Reforestation,299.14,3,2900,60.0,High,3896.11
Madhya Pradesh,Humid Subtropical,Regenerative Agriculture,77.38,5,1200,25.1,Medium,99.42
Assam,Tropical Wet,Afforestation,363.55,8,2700,34.2,Medium,4826.86
Meghalaya,Tropical Wet,Reforestation,198.28,8,2800,76.3,High,4230.11
Kerala,Tropical Wet,Reforestation,27.01,4,3000,52.3,High,420.06
Manipur,Subtropical,Regenerative Agriculture,253.25,1,1500,74.3,Medium,316.12
Goa,Tropical Wet,Afforestation,387.75,5,2900,60.0,High,4531.61
Karnataka,Tropical Dry,Afforestation,182.25,1,1300,20.1,Medium,461.78
Tamil Nadu,Tropical Dry,Afforestation,130.74,3,1000,17.4,Medium,302.88
Arunachal Pradesh,Subtropical,Afforestation,11.15,3,2800,79.3,High,94.51
Manipur,Subtropical,Afforestation,54.88,1,1500,74.3,Medium,173.19
Sikkim,Subtropical,Reforestation,280.87,1,2700,47.3,High,2691.35
Odisha,Humid Subtropical,Regenerative Agriculture,221.01,5,1500,33.2,Medium,343.05
Sikkim,Subtropical,Regenerative Agriculture,218.61,6,2700,47.3,High,868.5
Karnataka,Tropical Dry,Afforestation,338.26,10,1300,20.1,Medium,1813.23
Uttarakhand,Subtropical,Regenerative Agriculture,299.81,10,1800,45.4,High,1068.22
Gujarat,Arid,Regenerative Agriculture,210.74,9,800,7.6,Low,94.67
Manipur,Subtropical,Reforestation,177.38,2,1500,74.3,Medium,997.82
Tripura,Tropical Wet,Afforestation,328.58,8,2200,73.7,Medium,3272.47
Meghalaya,Tropical Wet,Afforestation,47.71,5,2800,76.3,High,516.74
Punjab,Humid Subtropical,Regenerative Agriculture,98.01,1,700,3.6,Medium,57.71
Assam,Tropical Wet,Afforestation,334.21,2,2700,34.2,Medium,2329.42
Telangana,Tropical Dry,Reforestation,175.74,3,950,24.0,Low,441.57
Tamil Nadu,Tropical Dry,Reforestation,23.19,7,1000,17.4,Medium,98.52
Meghalaya,Tropical Wet,Regenerative Agriculture,299.39,4,2800,76.3,High,1082.95
Sikkim,Subtropical,Afforestation,28.42,9,2700,47.3,High,364.98
Jharkhand,Humid Subtropical,Reforestation,50.3,7,1300,29.6,Medium,314.96
Uttar Pradesh,Humid Subtropical,Afforestation,368.81,1,1000,6.1,Medium,850.71
Arunachal Pradesh,Subtropical,Reforestation,104.94,9,2800,79.3,High,1994.6
Uttarakhand,Subtropical,Afforestation,456.07,9,1800,45.4,High,4228.27
Assam,Tropical Wet,Regenerative Agriculture,285.24,5,2700,34.2,Medium,990.54
Andhra Pradesh,Tropical Dry,Reforestation,393.2,8,900,23.0,Low,1485.97
Jharkhand,Humid Subtropical,Regenerative Agriculture,297.39,8,1300,29.6,Medium,513.5
Uttar Pradesh,Humid Subtropical,Afforestation,328.33,5,1000,6.1,Medium,1158.46
Karnataka,Tropical Dry,Afforestation,479.06,8,1300,20.1,Medium,2159.23
Nagaland,Tropical Wet,Afforestation,38.34,7,2000,73.9,High,422.22
Sikkim,Subtropical,Regenerative Agriculture,245.67,6,2700,47.3,High,921.82
Rajasthan,Arid,Afforestation,273.12,9,500,4.8,Very Low,308.39
West Bengal,Humid Subtropical,Afforestation,445.49,9,1750,18.9,Medium,3139.46
Goa,Tropical Wet,Reforestation,326.66,8,2900,60.0,High,6975.29
Goa,Tropical Wet,Regenerative Agriculture,6.5,5,2900,60.0,High,26.85
Uttarakhand,Subtropical,Reforestation,220.05,5,1800,45.4,High,2255.72
Mizoram,Tropical Wet,Afforestation,427.09,8,2500,84.5,High,5858.46
Rajasthan,Arid,Reforestation,243.08,10,500,4.8,Very Low,377.32
Maharashtra,Tropical Dry,Regenerative Agriculture,260.03,1,1100,16.5,Medium,188.74
Nagaland,Tropical Wet,Regenerative Agriculture,261.11,1,2000,73.9,High,537.13
Rajasthan,Arid,Regenerative Agriculture,75.41,5,500,4.8,Very Low,20.53
Tamil Nadu,Tropical Dry,Regenerative Agriculture,211.2,7,1000,17.4,Medium,250.03
Tamil Nadu,Tropical Dry,Reforestation,330.68,5,1000,17.4,Medium,1211.79
Tripura,Tropical Wet,Regenerative Agriculture,5.33,2,2200,73.7,Medium,11.96
Tripura,Tropical Wet,Reforestation,125.51,1,2200,73.7,Medium,1066.31
Karnataka,Tropical Dry,Afforestation,66.76,2,1300,20.1,Medium,184.02
Meghalaya,Tropical Wet,Reforestation,124.09,7,2800,76.3,High,2619.39
Tamil Nadu,Tropical Dry,Afforestation,481.87,5,1000,17.4,Medium,1331.15
West Bengal,Humid Subtropical,Afforestation,387.78,1,1750,18.9,Medium,1381.52
Tamil Nadu,Tropical Dry,Reforestation,148.16,10,1000,17.4,Medium,825.01
Uttar Pradesh,Humid Subtropical,Afforestation,197.97,1,1000,6.1,Medium,450.57
Nagaland,Tropical Wet,Regenerative Agriculture,149.15,3,2000,73.9,High,388.65
Assam,Tropical Wet,Afforestation,60.07,9,2700,34.2,Medium,791.99
Tripura,Tropical Wet,Regenerative Agriculture,239.47,4,2200,73.7,Medium,670.05
Uttar Pradesh,Humid Subtropical,Reforestation,65.56,3,1000,6.1,Medium,223.41
Sikkim,Subtropical,Reforestation,73.16,5,2700,47.3,High,1002.32
Chhattisgarh,Humid Subtropical,Reforestation,103.53,3,1400,41.1,Medium,524.97
Sikkim,Subtropical,Afforestation,360.31,2,2700,47.3,High,2682.4
Maharashtra,Tropical Dry,Reforestation,93.42,5,1100,16.5,Medium,390.33
Maharashtra,Tropical Dry,Regenerative Agriculture,138.84,2,1100,16.5,Medium,113.33
Telangana,Tropical Dry,Afforestation,456.8,10,950,24.0,Low,1534.3
Meghalaya,Tropical Wet,Reforestation,192.91,7,2800,76.3,High,3866.98
Assam,Tropical Wet,Afforestation,108.26,9,2700,34.2,Medium,1447.98
Haryana,Humid Subtropical,Regenerative Agriculture,197.2,5,600,3.6,Low,148.2
Andhra Pradesh,Tropical Dry,Afforestation,83.29,5,900,23.0,Low,174.92
Arunachal Pradesh,Subtropical,Reforestation,166.11,6,2800,79.3,High,2696.18
Kerala,Tropical Wet,Reforestation,364.51,6,3000,52.3,High,6477.19
Manipur,Subtropical,Afforestation,128.6,9,1500,74.3,Medium,861.94
Bihar,Humid Subtropical,Reforestation,95.98,1,1100,7.7,Medium,280.88
Tamil Nadu,Tropical Dry,Reforestation,140.69,2,1000,17.4,Medium,395.87
Kerala,Tropical Wet,Afforestation,48.5,6,3000,52.3,High,618.92
Tripura,Tropical Wet,Reforestation,391.32,10,2200,73.7,Medium,7166.98
Goa,Tropical Wet,Reforestation,79.48,1,2900,60.0,High,900.36
Maharashtra,Tropical Dry,Regenerative Agriculture,41.64,6,1100,16.5,Medium,51.23
Karnataka,Tropical Dry,Reforestation,375.05,8,1300,20.1,Medium,2346.04
Arunachal Pradesh,Subtropical,Reforestation,316.62,7,2800,79.3,High,5484.77
Nagaland,Tropical Wet,Reforestation,316.78,3,2000,73.9,High,3619.14
Karnataka,Tropical Dry,Reforestation,183.86,2,1300,20.1,Medium,632.34
Punjab,Humid Subtropical,Afforestation,332.77,3,700,3.6,Medium,768.88
Telangana,Tropical Dry,Reforestation,23.03,3,950,24.0,Low,56.7
Tamil Nadu,Tropical Dry,Regenerative Agriculture,205.67,6,1000,17.4,Medium,219.62
Himachal Pradesh,Subtropical,Afforestation,421.82,1,1600,27.1,Medium,1508.06
Odisha,Humid Subtropical,Afforestation,179.51,4,1500,33.2,Medium,772.96
Haryana,Humid Subtropical,Reforestation,348.81,9,600,3.6,Low,1352.63
Assam,Tropical Wet,Reforestation,245.12,4,2700,34.2,Medium,3252.36
Nagaland,Tropical Wet,Regenerative Agriculture,86.66,3,2000,73.9,High,220.56
Meghalaya,Tropical Wet,Afforestation,238.25,5,2800,76.3,High,2678.27
Himachal Pradesh,Subtropical,Afforestation,74.47,8,1600,27.1,Medium,528.3
Tamil Nadu,Tropical Dry,Reforestation,388.99,7,1000,17.4,Medium,1597.2
Mizoram,Tropical Wet,Afforestation,43.88,9,2500,84.5,High,674.83
Himachal Pradesh,Subtropical,Reforestation,213.2,9,1600,27.1,Medium,1997.7
Uttar Pradesh,Humid Subtropical,Reforestation,51.68,1,1000,6.1,Medium,138.82
Goa,Tropical Wet,Regenerative Agriculture,198.74,1,2900,60.0,High,534.36
Maharashtra,Tropical Dry,Afforestation,126.14,10,1100,16.5,Medium,520.15
Karnataka,Tropical Dry,Afforestation,230.22,8,1300,20.1,Medium,1061.53
Andhra Pradesh,Tropical Dry,Afforestation,133.74,6,900,23.0,Low,318.93
Mizoram,Tropical Wet,Afforestation,423.64,8,2500,84.5,High,6222.31
Haryana,Humid Subtropical,Regenerative Agriculture,261.14,4,600,3.6,Low,174.64
Mizoram,Tropical Wet,Reforestation,30.15,7,2500,84.5,High,573.98
Meghalaya,Tropical Wet,Reforestation,84.3,5,2800,76.3,High,1434.76
